run_id,algo,variant,seed,pop_size,tournament_size,p_inflate,n_elites,elite_train_rmse,elite_size,elite_nodes
37442812-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.3,10,1.0938606262207031,88,1642
37442858-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.3,10,0.9983900785446167,37,1037
3744289e-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.3,10,0.9923588633537292,88,2182
374428e4-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.5,1,1.2349426746368408,150,2702
3744292a-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.5,1,0.9985533356666565,73,2303
37442970-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.5,1,0.9915459752082825,126,2320
374429b6-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.5,3,1.1328904628753662,138,2472
37442a24-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.5,3,0.9983898401260376,55,1155
37442a74-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.5,3,0.9911358952522278,101,1973
37442ace-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.5,5,1.2429529428482056,135,2637
37442b14-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.5,5,0.9984462261199951,63,1489
37442b64-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.5,5,0.9914750456809998,119,2475
37442baa-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.5,10,1.229820728302002,131,2055
37442bf0-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.5,10,0.9981852173805237,60,1526
37442c36-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.5,10,0.9910596013069153,111,2197
37442c7c-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.7,1,1.119404673576355,140,2974
37442cd6-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.7,1,0.9982622861862183,51,1393
